workload,method,source_root,reference_path,peak_excess_K,canonical_peak_excess_K,peak_excess_K_diff,sigma_T_K,canonical_sigma_T_K,sigma_T_K_diff,N_hot,canonical_N_hot,N_hot_diff,makespan_s,canonical_makespan_s,makespan_s_diff,pe_optical_comm_energy_J,canonical_pe_optical_comm_energy_J,pe_optical_comm_energy_J_diff,eta_dvfs_pct,canonical_eta_dvfs_pct,eta_dvfs_pct_diff,comm_cost,canonical_comm_cost,comm_cost_diff,congestion_cost,canonical_congestion_cost,congestion_cost_diff,load_imbalance,canonical_load_imbalance,load_imbalance_diff,max_abs_diff,matches_canonical
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_44\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_44\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_44\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_44\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_45\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_45\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_45\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_45\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_46\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_46\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_46\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_46\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_47\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_47\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_47\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_47\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_48\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_48\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_48\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_48\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_49\gen_60\gemm\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_49\gen_60\mpeg4\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_49\gen_60\vopd\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,wout-comm,B-2-v4-ablation,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_49\gen_60\hnn\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,RandomReference,random-mapping-ensemble-v2,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\gemm\random\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,RandomReference,random-mapping-ensemble-v2,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\mpeg4\random\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,RandomReference,random-mapping-ensemble-v2,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\vopd\random\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,RandomReference,random-mapping-ensemble-v2,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\hnn\random\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,CommAwareReferenceMapping,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\gemm\original\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
GEMM,CommAware-Heuristic,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\gemm\comm_aware\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,CommAwareReferenceMapping,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\mpeg4\original\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
MPEG4,CommAware-Heuristic,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\mpeg4\comm_aware\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,CommAwareReferenceMapping,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\vopd\original\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
VOPD,CommAware-Heuristic,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\vopd\comm_aware\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,CommAwareReferenceMapping,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\hnn\original\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
HNN,CommAware-Heuristic,comm-aware-baseline-v1,D:\HNOCS\out\experimental results\comm-aware-baseline-v1\hnn\comm_aware\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,Thermal-SA-TAS-ReferenceMapping,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\gemm\original\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
GEMM,Thermal-SA-TAS,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\gemm\thermal_sa_tas\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
MPEG4,Thermal-SA-TAS-ReferenceMapping,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\mpeg4\original\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
MPEG4,Thermal-SA-TAS,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\mpeg4\thermal_sa_tas\metrics.json,9.446638746800033,9.446638746800033,0.0,1.3003837749577485,1.3003837749577485,0.0,2.0,2.0,0.0,0.0001220699,0.0001220699,0.0,0.0011328804365769536,0.0011328804365769536,0.0,0.07168423611111063,0.07168423611111063,0.0,420000.0,420000.0,0.0,88000.0,88000.0,0.0,0.5670623064060744,0.5670623064060744,0.0,0.0,True
VOPD,Thermal-SA-TAS-ReferenceMapping,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\vopd\original\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
VOPD,Thermal-SA-TAS,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\vopd\thermal_sa_tas\metrics.json,7.222719212610002,7.222719212610002,0.0,0.9870939912641029,0.9870939912641029,0.0,0.0,0.0,0.0,8.93329e-05,8.93329e-05,0.0,0.0007507385223064374,0.0007507385223064374,0.0,0.0,0.0,0.0,1396000.0,1396000.0,0.0,252000.0,252000.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,True
HNN,Thermal-SA-TAS-ReferenceMapping,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\hnn\original\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
HNN,Thermal-SA-TAS,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_40\hnn\thermal_sa_tas\metrics.json,10.667576241619997,10.667576241619997,0.0,2.454372247071413,2.454372247071413,0.0,16.0,16.0,0.0,0.000203177525,0.000203177525,0.0,0.004651317011228462,0.004651317011228462,0.0,11.14198573637825,11.14198573637825,0.0,2195456.0,2195456.0,0.0,163840.0,163840.0,0.0,0.3028095733610822,0.3028095733610822,0.0,0.0,True
GEMM,Thermal-SA-TAS-ReferenceMapping,thermal-sa-tas-results,D:\HNOCS\out\experimental results\thermal-sa-tas-results\final\seed_41\gemm\original\metrics.json,9.93421735578005,9.93421735578005,0.0,2.1434761400252804,2.1434761400252804,0.0,6.0,6.0,0.0,0.000120405,0.000120405,0.0,0.0015708734939939562,0.0015708734939939562,0.0,1.8350526805555563,1.8350526805555563,0.0,104448.0,104448.0,0.0,22528.0,22528.0,0.0,0.9202539178734378,0.9202539178734378,0.0,0.0,True
